mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	0	-1	4/4	1/4	3/4	2	firstMeasure				1	2
2	1	-1	4/4	1	0	4	startRepeat					3
3	2	-1	4/4	1	0	5						4
4	3	-1	4/4	1	0	4						5
5	4	-1	4/4	1	0	4						6
6	5	-1	4/4	1	0	4						7
7	6	-1	4/4	1	0	4						8
8	7	-1	4/4	1	0	4						9
9	8	-1	4/4	1	0	5	endRepeat					2, 10
10	9	-1	4/4	1	0	4						11
11	10	-1	4/4	1	0	5						12
12	11	-1	4/4	1	0	4						13
13	12	-1	4/4	1	0	4						14
14	13	-1	4/4	1	0	3						15
15	14	-1	4/4	1	0	5						16
16	15	-1	4/4	1	0	4						17
17	16	-1	4/4	1	0	5						18
18	17	-1	4/4	1	0	4						19
19	18	-1	4/4	1	0	5						20
20	19	-1	4/4	1	0	4						21
21	20	-1	4/4	1	0	4						22
22	21	-1	4/4	1	0	4						23
23	22	-1	4/4	1	0	6						24
24	23	-1	4/4	1	0	5						25
25	24	-1	4/4	1	0	4	lastMeasure		end			
