mc	mn	onset	label	volta
1	0	3/16	.g#.V	
2	1	0	i[i	
3	2	1/16	V7	
4	3	1/16	i]	
5	4	0	III.ii%43	
6	5	0	V	
6	5	1/16	V(64)	
7	6	0	V7	
8	7	0	I\\	
9	8	3/16	V	
10	9	0	I[I	
11	10	1/16	V7(b9)	
12	11	1/16	I]	
13	12	0	V43/V	
14	13	0	v.V(64)	
15	14	0	V7	
15	14	1/16	V7(9)	
16	15	0	i[i\\	
18	17	1/16	#viio43/iv	
19	18	1/16	iv6	
20	19	1/16	#viio43	
21	20	1/16	i.V]\\	
23	22	0	i	
24	23	0	iv65	
24	23	1/8	ii%65/III	
25	24	0	V/III	
25	24	1/16	V7(13)/III	
25	24	3/16	V7/III	
26	25	0	III(9)	
26	25	1/16	III	
27	26	0	V(6)	
27	26	1/8	V7(6)	
27	26	3/16	V7	
28	27	0	i(9)	1
28	27	1/16	i\\	1
29	28	0	i(9)	2
29	28	1/16	i	2
29	28	3/16	i(9)	2
30	29	1/16	i	
31	30	3/16	i(9)	
32	31	1/16	i\\	
